ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_cactus_01d, -478.364, -92.75559, 37.28686, 0, 0, 0.9981349, -0.06104899, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_strm_2.ymap
prop_cactus_01d, -481.6735, -89.66581, 37.32971, 0, 0, 0.4733199, 0.8808906, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_strm_2.ymap
prop_cactus_01d, -486.9597, -83.96567, 37.18375, 0, 0, 0.9961947, 0.08715597, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_strm_2.ymap
prop_cactus_01d, -492.618, -80.08288, 37.18375, 0, 0, 0.5913098, 0.8064446, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_strm_2.ymap
prop_cactus_01d, -496.2097, -72.74827, 39.28008, 0, 0, 0.9981349, -0.06104899, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_strm_2.ymap
prop_cactus_01d, -1201.669, -786.7076, 15.70366, 0, 0, 0.5446388, 0.8386707, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_19_strm_1.ymap
prop_cactus_01d, -1196.059, -793.9271, 15.70366, 0, 0, 0.9914449, 0.130526, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_19_strm_1.ymap
prop_cactus_01d, -2110.406, -338.4767, 12.4757, 0, 0, 0.05233599, 0.9986295, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_26_strm_0.ymap
prop_cactus_01d, -2074.555, -345.0291, 12.38505, 0, 0, 0.05233599, 0.9986295, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_26_strm_0.ymap
prop_cactus_01d, 2521.58, 4247.315, 38.43606, -0.029813, 0.004805999, 0.227521, 0.9733048, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_1.ymap
prop_cactus_01d, 2549.254, 4238.192, 39.6791, -0.018742, 0.0241, 0.708361, 0.7051899, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_1.ymap
prop_cactus_01d, 2549.674, 4239.767, 39.69244, 0.016907, 0.02542101, -0.4439821, 0.8955154, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_1.ymap
prop_cactus_01d, 2535.692, 4249.267, 39.0211, -0.033674, 0.023807, 0.160764, 0.986131, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_1.ymap
prop_cactus_01d, 2614.378, 4325.218, 42.0778, -0.05038497, -0.00102, 0.7992916, -0.5988266, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_5.ymap
prop_cactus_01d, 2622.25, 4335.653, 42.46931, -0.07017203, 0.03677002, 0.9738065, 0.2131311, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_5.ymap
prop_cactus_01d, 2653.409, 4358.143, 44.2751, 0.05548, 0.005579, -0.702817, 0.709182, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_5.ymap
prop_cactus_01d, 2642.928, 4354.798, 43.88353, -0.02265801, 0.005304002, 0.9383885, -0.3447982, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_5.ymap
prop_cactus_01d, 2707.57, 4400.67, 45.52661, -0.047344, 0.055257, 0.997047, -0.024546, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_5.ymap
prop_cactus_01d, 2705.434, 4401.384, 45.28915, -0.007357995, 0.05289497, 0.8654926, 0.4980668, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_5.ymap
prop_cactus_01d, 2668.386, 4386.676, 43.88129, -0.016692, 0.04715599, 0.608104, 0.7922798, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_5.ymap
prop_cactus_01d, 2662.234, 4384.413, 43.49028, 0.03744601, 0.05047702, 0.04474701, 0.9970194, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_5.ymap
prop_cactus_01d, 1374.183, 2668.423, 38.07471, -0.009588003, 0.001076, -0.1574481, 0.9874802, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_04_strm_0.ymap
prop_cactus_01d, 1838.014, 2445.786, 44.79014, -0.03775402, 0.009930005, 0.8831025, -0.4675533, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_04_strm_4.ymap
prop_cactus_01d, 2521.58, 4247.315, 38.43606, -0.029813, 0.004805999, 0.227521, 0.9733048, update\x64\dlcpacks\patchday3ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_1.ymap
prop_cactus_01d, 2549.254, 4238.192, 39.6791, -0.018742, 0.0241, 0.708361, 0.7051899, update\x64\dlcpacks\patchday3ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_1.ymap
prop_cactus_01d, 2549.674, 4239.767, 39.69244, 0.016907, 0.02542101, -0.4439821, 0.8955154, update\x64\dlcpacks\patchday3ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_1.ymap
prop_cactus_01d, 2535.692, 4249.267, 39.0211, -0.033674, 0.023807, 0.160764, 0.986131, update\x64\dlcpacks\patchday3ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_1.ymap
prop_cactus_01d, 2614.378, 4325.218, 42.0778, -0.05038497, -0.00102, 0.7992916, -0.5988266, update\x64\dlcpacks\patchday3ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_5.ymap
prop_cactus_01d, 2622.25, 4335.653, 42.46931, -0.07017203, 0.03677002, 0.9738065, 0.2131311, update\x64\dlcpacks\patchday3ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_5.ymap
prop_cactus_01d, 2653.409, 4358.143, 44.2751, 0.05548, 0.005579, -0.702817, 0.709182, update\x64\dlcpacks\patchday3ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_5.ymap
prop_cactus_01d, 2642.928, 4354.798, 43.88353, -0.02265801, 0.005304002, 0.9383885, -0.3447982, update\x64\dlcpacks\patchday3ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_5.ymap
prop_cactus_01d, 2707.57, 4400.67, 45.52661, -0.047344, 0.055257, 0.997047, -0.024546, update\x64\dlcpacks\patchday3ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_5.ymap
prop_cactus_01d, 2705.434, 4401.384, 45.28915, -0.007357995, 0.05289497, 0.8654926, 0.4980668, update\x64\dlcpacks\patchday3ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_5.ymap
prop_cactus_01d, 2668.386, 4386.676, 43.88129, -0.016692, 0.04715599, 0.608104, 0.7922798, update\x64\dlcpacks\patchday3ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_5.ymap
prop_cactus_01d, 2662.234, 4384.413, 43.49028, 0.03744601, 0.05047702, 0.04474701, 0.9970194, update\x64\dlcpacks\patchday3ng\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_strm_5.ymap
